dataset,fold,method,first_order_diff_used,train_accuracy,train_auc,test_accuracy,test_auc
auslan2,0,minirocket,0,0.7444444444444445,0.967421124828532,0.65,0.9527777777777776
auslan2,0,multirocket,0,0.7888888888888889,0.9730624142661178,0.55,0.9527777777777776
auslan2,0,multirocket,1,0.7888888888888889,0.9742969821673524,0.55,0.9527777777777776
auslan2,0,storm minirocket,0,0.8222222222222222,0.9813443072702333,0.75,0.9138888888888888
auslan2,0,storm multirocket,0,0.7555555555555555,0.9594307270233196,0.75,0.9388888888888888
auslan2,0,storm multirocket,1,0.4666666666666667,0.8692729766803838,0.65,0.8944444444444445
auslan2,1,minirocket,0,0.8,0.9727366255144032,0.65,0.9361111111111112
auslan2,1,multirocket,0,0.8166666666666667,0.9781207133058984,0.6,0.9277777777777778
auslan2,1,multirocket,1,0.8444444444444444,0.9850137174211248,0.5,0.9305555555555556
auslan2,1,storm minirocket,0,0.8055555555555556,0.978875171467764,0.75,0.9194444444444444
auslan2,1,storm multirocket,0,0.8,0.969753086419753,0.85,0.9638888888888888
auslan2,1,storm multirocket,1,0.6611111111111111,0.9371399176954732,0.7,0.9222222222222224
auslan2,2,minirocket,0,0.7777777777777778,0.9708161865569273,0.6,0.9222222222222224
auslan2,2,multirocket,0,0.8,0.9759087791495198,0.55,0.9361111111111112
auslan2,2,multirocket,1,0.7944444444444444,0.9752229080932784,0.55,0.9416666666666668
auslan2,2,storm minirocket,0,0.8444444444444444,0.983161865569273,0.65,0.9361111111111112
auslan2,2,storm multirocket,0,0.7611111111111111,0.9542181069958846,0.7,0.9472222222222222
auslan2,2,storm multirocket,1,0.6555555555555556,0.930829903978052,0.65,0.8972222222222223
auslan2,3,minirocket,0,0.7888888888888889,0.9758573388203016,0.55,0.8388888888888889
auslan2,3,multirocket,0,0.8111111111111111,0.98079561042524,0.55,0.8277777777777777
auslan2,3,multirocket,1,0.8555555555555555,0.9871742112482852,0.55,0.7833333333333333
auslan2,3,storm minirocket,0,0.7166666666666667,0.9524862825788752,0.6,0.825
auslan2,3,storm multirocket,0,0.7444444444444445,0.9659979423868312,0.6,0.8888888888888888
auslan2,3,storm multirocket,1,0.6277777777777778,0.9410836762688616,0.6,0.8805555555555555
auslan2,4,minirocket,0,0.7888888888888889,0.9724451303155004,0.45,0.9222222222222224
auslan2,4,multirocket,0,0.7888888888888889,0.977503429355281,0.55,0.925
auslan2,4,multirocket,1,0.8611111111111112,0.9868141289437584,0.5,0.9111111111111112
auslan2,4,storm minirocket,0,0.7888888888888889,0.9735253772290812,0.65,0.9333333333333332
auslan2,4,storm multirocket,0,0.7055555555555556,0.9502914951989024,0.65,0.9
auslan2,4,storm multirocket,1,0.6611111111111111,0.9162208504801096,0.6,0.8166666666666667
auslan2,5,minirocket,0,0.8111111111111111,0.9753600823045264,0.55,0.8472222222222222
auslan2,5,multirocket,0,0.8333333333333334,0.978858024691358,0.5,0.8333333333333334
auslan2,5,multirocket,1,0.8722222222222222,0.988374485596708,0.5,0.825
auslan2,5,storm minirocket,0,0.7777777777777778,0.9643004115226336,0.65,0.8388888888888889
auslan2,5,storm multirocket,0,0.7944444444444444,0.9718792866941014,0.6,0.8277777777777777
auslan2,5,storm multirocket,1,0.6111111111111112,0.9349108367626886,0.55,0.8055555555555556
auslan2,6,minirocket,0,0.8,0.9732853223593964,0.6,0.9055555555555556
auslan2,6,multirocket,0,0.8944444444444445,0.9883744855967076,0.4,0.8888888888888888
auslan2,6,multirocket,1,0.8166666666666667,0.9786522633744856,0.55,0.9083333333333332
auslan2,6,storm minirocket,0,0.5666666666666667,0.922685185185185,0.65,0.9138888888888888
auslan2,6,storm multirocket,0,0.4166666666666667,0.8396262002743484,0.6,0.8916666666666667
auslan2,6,storm multirocket,1,0.5055555555555555,0.8852194787379972,0.65,0.8916666666666667
auslan2,7,minirocket,0,0.8444444444444444,0.9830246913580248,0.45,0.825
auslan2,7,multirocket,0,0.8555555555555555,0.9872085048010972,0.45,0.8333333333333334
auslan2,7,multirocket,1,0.8555555555555555,0.98468792866941,0.45,0.7944444444444444
auslan2,7,storm minirocket,0,0.7333333333333333,0.9588820301783266,0.55,0.8527777777777777
auslan2,7,storm multirocket,0,0.5555555555555556,0.9221879286694102,0.55,0.8361111111111111
auslan2,7,storm multirocket,1,0.4166666666666667,0.865466392318244,0.5,0.8222222222222222
auslan2,8,minirocket,0,0.7888888888888889,0.9727023319615912,0.7,0.9555555555555556
auslan2,8,multirocket,0,0.8111111111111111,0.9780521262002744,0.7,0.9444444444444444
auslan2,8,multirocket,1,0.8611111111111112,0.9868655692729768,0.75,0.925
auslan2,8,storm minirocket,0,0.7611111111111111,0.9599622770919068,0.8,0.95
auslan2,8,storm multirocket,0,0.6555555555555556,0.9417695473251028,0.75,0.9194444444444444
auslan2,8,storm multirocket,1,0.5777777777777777,0.9359739368998627,0.75,0.9305555555555556
auslan2,9,minirocket,0,0.7666666666666667,0.970644718792867,0.5,0.8888888888888888
auslan2,9,multirocket,0,0.7888888888888889,0.976423182441701,0.45,0.8916666666666667
auslan2,9,multirocket,1,0.8166666666666667,0.9777091906721536,0.45,0.8777777777777778
auslan2,9,storm minirocket,0,0.4611111111111111,0.8645233196159122,0.55,0.8527777777777777
auslan2,9,storm multirocket,0,0.3722222222222222,0.8427812071330588,0.6,0.8527777777777777
auslan2,9,storm multirocket,1,0.3944444444444444,0.8571502057613171,0.55,0.8527777777777777
blocks,0,minirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,0,1.0,1.0,1.0,1.0
blocks,0,multirocket,1,1.0,1.0,1.0,1.0
blocks,0,storm minirocket,0,0.9736842105263158,1.0,1.0,1.0
blocks,0,storm multirocket,0,0.9947368421052633,0.9992711370262392,1.0,1.0
blocks,0,storm multirocket,1,0.9947368421052633,0.9996080736821478,1.0,1.0
blocks,1,minirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,0,1.0,1.0,1.0,1.0
blocks,1,multirocket,1,1.0,1.0,1.0,1.0
blocks,1,storm minirocket,0,1.0,0.9960904480135248,1.0,1.0
blocks,1,storm multirocket,0,0.9893617021276596,1.0,1.0,1.0
blocks,1,storm multirocket,1,0.9840425531914894,0.9983401108757236,1.0,1.0
blocks,2,minirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,0,1.0,1.0,1.0,1.0
blocks,2,multirocket,1,1.0,1.0,0.9,1.0
blocks,2,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,2,storm multirocket,0,0.968421052631579,1.0,1.0,1.0
blocks,2,storm multirocket,1,0.9578947368421052,0.9995100921026846,1.0,1.0
blocks,3,minirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,0,1.0,1.0,1.0,1.0
blocks,3,multirocket,1,1.0,1.0,1.0,1.0
blocks,3,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,3,storm multirocket,1,0.9787234042553192,0.9969357565511412,1.0,1.0
blocks,4,minirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,0,1.0,1.0,1.0,1.0
blocks,4,multirocket,1,1.0,1.0,1.0,1.0
blocks,4,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,4,storm multirocket,0,0.9473684210526316,1.0,1.0,1.0
blocks,4,storm multirocket,1,0.9947368421052633,0.9996570644718792,1.0,1.0
blocks,5,minirocket,0,1.0,1.0,1.0,1.0
blocks,5,multirocket,0,1.0,1.0,0.9545454545454546,0.9523809523809524
blocks,5,multirocket,1,1.0,1.0,1.0,1.0
blocks,5,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,5,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,5,storm multirocket,1,0.9946808510638298,1.0,1.0,1.0
blocks,6,minirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,0,1.0,1.0,1.0,1.0
blocks,6,multirocket,1,1.0,1.0,0.95,0.994047619047619
blocks,6,storm minirocket,0,0.9947368421052633,1.0,1.0,1.0
blocks,6,storm multirocket,0,0.9947368421052633,1.0,1.0,1.0
blocks,6,storm multirocket,1,0.9210526315789472,0.9988242210464432,1.0,1.0
blocks,7,minirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,0,1.0,1.0,1.0,1.0
blocks,7,multirocket,1,1.0,1.0,0.8636363636363636,0.9464285714285714
blocks,7,storm minirocket,0,0.973404255319149,0.999894336432798,1.0,1.0
blocks,7,storm multirocket,0,0.9574468085106383,1.0,1.0,1.0
blocks,7,storm multirocket,1,0.9946808510638298,1.0,1.0,1.0
blocks,8,minirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,0,1.0,1.0,1.0,1.0
blocks,8,multirocket,1,1.0,1.0,1.0,1.0
blocks,8,storm minirocket,0,0.9894736842105264,1.0,1.0,1.0
blocks,8,storm multirocket,0,0.968421052631579,0.9893200078385264,1.0,0.996031746031746
blocks,8,storm multirocket,1,0.9473684210526316,1.0,1.0,1.0
blocks,9,minirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,0,1.0,1.0,1.0,1.0
blocks,9,multirocket,1,1.0,1.0,1.0,1.0
blocks,9,storm minirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,0,1.0,1.0,1.0,1.0
blocks,9,storm multirocket,1,0.9893617021276596,1.0,1.0,1.0
context,0,minirocket,0,1.0,1.0,1.0,1.0
context,0,multirocket,0,1.0,1.0,0.9545454545454546,1.0
context,0,multirocket,1,1.0,1.0,0.9545454545454546,0.9375
context,0,storm minirocket,0,0.9724770642201837,0.999643308080808,1.0,0.9975
context,0,storm multirocket,0,0.9541284403669724,0.99983528466483,1.0,1.0
context,0,storm multirocket,1,0.8119266055045872,0.9499874885215794,1.0,0.98125
context,1,minirocket,0,1.0,1.0,1.0,1.0
context,1,multirocket,0,1.0,1.0,1.0,1.0
context,1,multirocket,1,1.0,1.0,0.9583333333333334,0.9375
context,1,storm minirocket,0,0.925925925925926,0.999254852472808,1.0,1.0
context,1,storm multirocket,0,0.9583333333333334,0.9992992458385912,1.0,1.0
context,1,storm multirocket,1,0.9675925925925926,0.9977467550027042,1.0,0.99
context,2,minirocket,0,1.0,1.0,1.0,1.0
context,2,multirocket,0,1.0,1.0,0.96,0.95
context,2,multirocket,1,1.0,1.0,0.92,0.904
context,2,storm minirocket,0,0.8883720930232558,0.9926383861916582,1.0,1.0
context,2,storm multirocket,0,0.986046511627907,0.9997872723994952,1.0,1.0
context,2,storm multirocket,1,0.986046511627907,0.999891833423472,1.0,1.0
context,3,minirocket,0,1.0,1.0,1.0,1.0
context,3,multirocket,0,1.0,1.0,0.9583333333333334,0.9375
context,3,multirocket,1,1.0,1.0,1.0,1.0
context,3,storm minirocket,0,0.9351851851851852,0.996182245658314,1.0,0.9975
context,3,storm multirocket,0,0.9675925925925926,0.9971550688059612,1.0,1.0
context,3,storm multirocket,1,0.9583333333333334,1.0,1.0,1.0
context,4,minirocket,0,1.0,1.0,1.0,1.0
context,4,multirocket,0,1.0,1.0,0.96,0.96
context,4,multirocket,1,1.0,1.0,0.92,0.906
context,4,storm minirocket,0,1.0,1.0,1.0,1.0
context,4,storm multirocket,0,0.972093023255814,0.9997932816537468,1.0,1.0
context,4,storm multirocket,1,0.972093023255814,0.9988372093023254,1.0,1.0
context,5,minirocket,0,1.0,1.0,0.9545454545454546,1.0
context,5,multirocket,0,1.0,1.0,0.9090909090909092,0.995
context,5,multirocket,1,1.0,1.0,0.8636363636363636,0.9275
context,5,storm minirocket,0,0.9908256880733946,1.0,0.9545454545454546,1.0
